index,type,trait,subtrait_or_group,description,source
1,identity,name,first last nickname,name of the human or digital human,declared
2,identity,embodiment type,embodiment type,"primary type (human, assistant, proxy)",declared
3,identity,age,age,age of human or digital,declared
4,identity,unique identifier,unique identifier,"index, id number, avatar id",declared
5,identity,citizenship,citizenship,if national affiliation ,declared
6,identity,pedigree,"pedigree, parentage on model",quality and confidency in authenticity,measured
7,identity,agency_authorization,agency_authorization,allowance for permissions and action,declared
8,identity,organization,organization,"members of companies, orgs, groups",declared
9,identity,purpose,purpose,stated or designed purpose for existance,declared
10,identity,ethical_guides,ethical_guides,overarching rules of existance,declared
11,identity,history,history,over time the journey meta milestones,measured
12,identity,economic,social - economic,socio economic rough classification,declared
13,identity,world view,social - world view,mental model for economics and democracy,declared
14,identity,skills,education - skills,"skills and capabilities; foundation, ",measured
15,identity,expertise,professional - expertise,subject matter expertise,measured
16,identity,emotional intelligence,ei eq,"ei - CEO, child, new cognitive agent",multiple
17,session,focus,focus,what or who is in focus ; mind's eyes,multiple
18,session,location,location,"where it is, where it has been actual and virtual",measured
19,session,state_of_being,state_of_being,"awake, active, suspended, learning, curious, playful",multiple
20,session,session type,session type,moment in time context for interaction,measured
21,session,arousal ,arousal ,arousal - entities interest/excitement in topic or situation,declared
22,session,formality,TBD,degree of casual vs professionalism,declared
23,session,power_distance,TBD,relatieve to N parties - Hofstede ,declared
24,session,observe vs assert,observe vs assert,listen or lead mode,multiple
25,session,intimacy,intimacy,level of intimacy familiaity with counterparty,multiple
26,session,ego state,"normal, angry, upset, anxious","drives confidence, risk and voice of human",multiple
27,personality,agreeableness,personality_insights_big5_agreeableness_RAW,big5_agreeableness,watson_api_personality_insights
28,personality,altruism,personality_insights_big5_agreeableness_FACET,facet_altruism,watson_api_personality_insights
29,personality,cooperation,personality_insights_big5_agreeableness_FACET,facet_cooperation,watson_api_personality_insights
30,personality,modesty,personality_insights_big5_agreeableness_FACET,facet_modesty,watson_api_personality_insights
31,personality,morality,personality_insights_big5_agreeableness_FACET,facet_morality,watson_api_personality_insights
32,personality,sympathy,personality_insights_big5_agreeableness_FACET,facet_sympathy,watson_api_personality_insights
33,personality,trust,personality_insights_big5_agreeableness_FACET,facet_trust,watson_api_personality_insights
34,personality,conscientiousness,personality_insights_big5_conscientiousness_RAW,big5_conscientiousness,watson_api_personality_insights
35,personality,achievement_striving,personality_insights_big5_conscientiousness_FACET,facet_achievement_striving,watson_api_personality_insights
36,personality,cautiousness,personality_insights_big5_conscientiousness_FACET,facet_cautiousness,watson_api_personality_insights
37,personality,dutifulness,personality_insights_big5_conscientiousness_FACET,facet_dutifulness,watson_api_personality_insights
38,personality,orderliness,personality_insights_big5_conscientiousness_FACET,facet_orderliness,watson_api_personality_insights
39,personality,self_discipline,personality_insights_big5_conscientiousness_FACET,facet_self_discipline,watson_api_personality_insights
40,personality,self_efficacy,personality_insights_big5_conscientiousness_FACET,facet_self_efficacy,watson_api_personality_insights
41,personality,extraversion,personality_insights_big5_extraversion_RAW,big5_extraversion,watson_api_personality_insights
42,personality,activity_level,personality_insights_big5_extraversion_FACET,facet_activity_level,watson_api_personality_insights
43,personality,assertiveness,personality_insights_big5_extraversion_FACET,facet_assertiveness,watson_api_personality_insights
44,personality,cheerfulness,personality_insights_big5_extraversion_FACET,facet_cheerfulness,watson_api_personality_insights
45,personality,excitement_seeking,personality_insights_big5_extraversion_FACET,facet_excitement_seeking,watson_api_personality_insights
46,personality,friendliness,personality_insights_big5_extraversion_FACET,facet_friendliness,watson_api_personality_insights
47,personality,gregariousness,personality_insights_big5_extraversion_FACET,facet_gregariousness,watson_api_personality_insights
48,personality,neuroticism,personality_insights_big5_neuroticism_RAW,big5_neuroticism,watson_api_personality_insights
49,personality,anger,personality_insights_big5_neuroticism_FACET,facet_anger,watson_api_personality_insights
50,personality,anxiety,personality_insights_big5_neuroticism_FACET,facet_anxiety,watson_api_personality_insights
51,personality,depression,personality_insights_big5_neuroticism_FACET,facet_depression,watson_api_personality_insights
52,personality,immoderation,personality_insights_big5_neuroticism_FACET,facet_immoderation,watson_api_personality_insights
53,personality,self_consciousness,personality_insights_big5_neuroticism_FACET,facet_self_consciousness,watson_api_personality_insights
54,personality,vulnerability,personality_insights_big5_neuroticism_FACET,facet_vulnerability,watson_api_personality_insights
55,personality,openness,personality_insights_big5_openness_RAW,big5_openness,watson_api_personality_insights
56,personality,adventurousness,personality_insights_big5_openness_FACET,facet_adventurousness,watson_api_personality_insights
57,personality,artistic_interests,personality_insights_big5_openness_FACET,facet_artistic_interests,watson_api_personality_insights
58,personality,emotionality,personality_insights_big5_openness_FACET,facet_emotionality,watson_api_personality_insights
59,personality,imagination,personality_insights_big5_openness_FACET,facet_imagination,watson_api_personality_insights
60,personality,intellect,personality_insights_big5_openness_FACET,facet_intellect,watson_api_personality_insights
61,personality,liberalism,personality_insights_big5_openness_FACET,facet_liberalism,watson_api_personality_insights
62,personality,liberty,personality_insights_NEEDS,need_liberty,watson_api_personality_insights
63,personality,ideal,personality_insights_NEEDS,need_ideal,watson_api_personality_insights
